instrument_token,LTP,last_trade_time
11183106,547.05,2023-02-13 12:53:51
11176706,265.0,2023-02-13 12:53:53
11176706,264.4,2023-02-13 12:53:53
11183106,547.05,2023-02-13 12:53:51
11176706,264.65,2023-02-13 12:53:54
11183106,546.9,2023-02-13 12:53:54
11183106,548.2,2023-02-13 12:53:54
11176706,264.3,2023-02-13 12:53:55
11183106,547.05,2023-02-13 12:53:56
11176706,264.15,2023-02-13 12:53:55
11176706,264.6,2023-02-13 12:53:56
11183106,547.95,2023-02-13 12:53:56
11176706,264.05,2023-02-13 12:53:56
11183106,547.95,2023-02-13 12:53:56
11176706,264.5,2023-02-13 12:53:57
11176706,264.3,2023-02-13 12:53:58
11183106,547.95,2023-02-13 12:53:56
11176706,264.1,2023-02-13 12:53:58
11183106,547.95,2023-02-13 12:53:56
11183106,548.5,2023-02-13 12:53:56
11176706,263.5,2023-02-13 12:53:59
11176706,264.1,2023-02-13 12:54:00
11183106,549.35,2023-02-13 12:53:59
11176706,263.85,2023-02-13 12:54:00
11183106,550.55,2023-02-13 12:54:01
11176706,263.2,2023-02-13 12:54:01
11176706,262.35,2023-02-13 12:54:01
11183106,550.55,2023-02-13 12:54:01
11183106,551.45,2023-02-13 12:54:02
11176706,262.35,2023-02-13 12:54:02
11183106,551.45,2023-02-13 12:54:02
11176706,263.65,2023-02-13 12:54:03
11183106,551.45,2023-02-13 12:54:02
11176706,263.35,2023-02-13 12:54:04
11183106,549.1,2023-02-13 12:54:04
11176706,263.4,2023-02-13 12:54:04
11176706,264.3,2023-02-13 12:54:05
11183106,549.1,2023-02-13 12:54:04
11183106,546.4,2023-02-13 12:54:06
11176706,264.75,2023-02-13 12:54:06
11183106,546.4,2023-02-13 12:54:06
11183106,545.5,2023-02-13 12:54:07
11176706,264.75,2023-02-13 12:54:07
11183106,545.5,2023-02-13 12:54:07
11176706,264.25,2023-02-13 12:54:07
11176706,264.85,2023-02-13 12:54:08
11183106,545.5,2023-02-13 12:54:07
11176706,264.35,2023-02-13 12:54:08
11183106,546.3,2023-02-13 12:54:09
11176706,265.0,2023-02-13 12:54:10
11183106,546.3,2023-02-13 12:54:09
11176706,264.75,2023-02-13 12:54:10
11183106,546.3,2023-02-13 12:54:09
11176706,264.35,2023-02-13 12:54:10
11183106,546.3,2023-02-13 12:54:09
11176706,264.6,2023-02-13 12:54:11
11176706,264.3,2023-02-13 12:54:12
11183106,546.3,2023-02-13 12:54:09
11176706,264.45,2023-02-13 12:54:13
11183106,547.95,2023-02-13 12:54:13
11183106,547.95,2023-02-13 12:54:13
11176706,264.25,2023-02-13 12:54:13
11183106,547.95,2023-02-13 12:54:13
11176706,263.9,2023-02-13 12:54:14
11183106,547.95,2023-02-13 12:54:13
11183106,547.95,2023-02-13 12:54:13
11176706,263.4,2023-02-13 12:54:15
11176706,263.0,2023-02-13 12:54:16
11176706,262.2,2023-02-13 12:54:16
11183106,551.55,2023-02-13 12:54:13
11183106,550.15,2023-02-13 12:54:17
11176706,262.95,2023-02-13 12:54:17
11176706,263.6,2023-02-13 12:54:18
11183106,550.15,2023-02-13 12:54:17
11183106,550.15,2023-02-13 12:54:17
11176706,263.65,2023-02-13 12:54:18
11183106,548.6,2023-02-13 12:54:19
11176706,263.55,2023-02-13 12:54:19
11183106,551.25,2023-02-13 12:54:19
11176706,262.85,2023-02-13 12:54:19
11183106,551.55,2023-02-13 12:54:20
11176706,262.5,2023-02-13 12:54:20
11183106,549.95,2023-02-13 12:54:20
11176706,263.0,2023-02-13 12:54:21
11183106,549.95,2023-02-13 12:54:20
11176706,262.6,2023-02-13 12:54:22
11183106,550.6,2023-02-13 12:54:22
11183106,551.75,2023-02-13 12:54:22
11176706,262.3,2023-02-13 12:54:22
11183106,551.75,2023-02-13 12:54:23
11176706,262.5,2023-02-13 12:54:23
11183106,551.75,2023-02-13 12:54:23
11176706,262.5,2023-02-13 12:54:23
11176706,263.4,2023-02-13 12:54:24
11183106,551.75,2023-02-13 12:54:23
11176706,263.75,2023-02-13 12:54:25
11183106,551.75,2023-02-13 12:54:23
11183106,547.7,2023-02-13 12:54:25
11176706,265.1,2023-02-13 12:54:25
11176706,265.8,2023-02-13 12:54:26
11183106,547.7,2023-02-13 12:54:25
11183106,545.5,2023-02-13 12:54:26
11176706,265.6,2023-02-13 12:54:27
11176706,264.9,2023-02-13 12:54:27
11183106,545.5,2023-02-13 12:54:27
11183106,545.5,2023-02-13 12:54:27
11176706,264.95,2023-02-13 12:54:28
11176706,264.5,2023-02-13 12:54:28
11183106,547.25,2023-02-13 12:54:28
11176706,265.25,2023-02-13 12:54:28
11183106,547.25,2023-02-13 12:54:28
11183106,546.75,2023-02-13 12:54:28
11176706,264.0,2023-02-13 12:54:30
11183106,546.75,2023-02-13 12:54:30
11176706,263.8,2023-02-13 12:54:30
11176706,263.0,2023-02-13 12:54:30
11183106,548.9,2023-02-13 12:54:30
11176706,263.5,2023-02-13 12:54:30
11183106,549.95,2023-02-13 12:54:31
11176706,263.1,2023-02-13 12:54:32
11183106,549.55,2023-02-13 12:54:32
11176706,263.1,2023-02-13 12:54:32
11183106,549.55,2023-02-13 12:54:32
11176706,263.5,2023-02-13 12:54:33
11176706,262.95,2023-02-13 12:54:34
11176706,262.8,2023-02-13 12:54:35
11183106,550.6,2023-02-13 12:54:32
11183106,550.6,2023-02-13 12:54:34
11176706,262.75,2023-02-13 12:54:35
11176706,262.4,2023-02-13 12:54:36
11183106,550.6,2023-02-13 12:54:34
11183106,550.6,2023-02-13 12:54:34
11176706,262.4,2023-02-13 12:54:36
11183106,550.6,2023-02-13 12:54:34
11176706,262.85,2023-02-13 12:54:37
